ID;Title;Year;Color;Format;Orientation;Style;Dimensions;Price;Image
GU02543;Heart Sand;2025;Sand;svg;Landscape;Abstract;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180018/artPosters/GU02543_heart_sand_exn99d.svg
GU02544;Heart Earth;2025;Earth;svg;Landscape;Abstract;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180019/artPosters/GU02544_heart_earth_ueruuv.svg
GU02545;Heart Mint;2025;Mint;svg;Landscape;Abstract;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180019/artPosters/GU02545_heart_mint_v20s3g.svg
GU02546;Seagram ;2025;White;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180020/artPosters/GU02546_seagram_white_fhqdtd.svg
GU02547;Seagram Sun;2025;Sun;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180024/artPosters/GU02547_seagram_sun_fv7hez.svg
GU02548;Seagram Sand;2025;Sand;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180025/artPosters/GU02548_seagram_sand_y8kkcx.svg
GU02549;Seagram Sky;2025;Sky;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180031/artPosters/GU02549_seagram_sky_pl7a8l.svg
GU02550;Seagram Mint;2025;Mint;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180027/artPosters/GU02550_seagram_mint_safpds.svg
GU02551;Chrysler;2025;White;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180027/artPosters/GU02551_chrysler_pdmyap.svg
GU02552;Chrysler Earth;2025;Earth;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180028/artPosters/GU02552_chrysler_earth_pojcs0.svg
GU02553;Chrysler Sand;2025;Sand;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180028/artPosters/GU02553_chrysler_sand_xsmgnm.svg
GU02554;Chrysler Sky;2025;Sky;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180030/artPosters/GU02554_chrysler_sky_lyzukh.svg
GU02555;Chrysler Mint;2025;Mint;svg;Portrait;Illustration;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180030/artPosters/GU02555_chrysler_mint_lzlydw.svg
GU02556;Small Steps;2025;White;svg;Portrait;Typography;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180031/artPosters/GU02556_smallsteps_lvdtrz.svg
GU02557;Small Steps Black;2025;Black;svg;Portrait;Typography;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180037/artPosters/GU02557_smallsteps_black_hmjdtx.svg
GU02558;Small Steps Mint;2025;Mint;svg;Portrait;Typography;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180037/artPosters/GU02558_smallsteps_mint_feq2pu.svg
GU02559;Small Steps Earth;2025;Earth;svg;Portrait;Typography;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180038/artPosters/GU02559_smallsteps_earth_dfhd9b.svg
GU02560;Small Steps Sun;2025;Sun;svg;Portrait;Typography;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180038/artPosters/GU02560_smallsteps_sun_kc1khl.svg
GU02561;City Virus;2016;White;jpg;Circle;Illustration;50x50 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180044/artPosters/GU02561_cityVirus_filzz6.jpg
GU02562;City Virus Sky;2016;Sky;jpg;Circle;Illustration;50x50 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180044/artPosters/GU02562_cityVirus_sky_zitacv.jpg
GU02563;City Virus Sun;2016;Sun;jpg;Circle;Illustration;50x50 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180047/artPosters/GU02563_cityVirus_sun_ujwlky.jpg
GU02564;City Virus Sand;2016;Sand;jpg;Circle;Illustration;50x50 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180049/artPosters/GU02564_cityVirus_sand_drhebi.jpg
GU02565;City Virus Mint;2016;Mint;jpg;Circle;Illustration;50x50 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180049/artPosters/GU02565_cityVirus_mint_jqo2cb.jpg
GU02566;Supertanker;2017;White;jpg;Landscape;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180050/artPosters/GU02566_supertanker_lhqt58.jpg
GU02567;Supertanker Sky;2017;Sky;jpg;Landscape;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180053/artPosters/GU02567_supertanker_sky_udnkpa.jpg
GU02568;Supertanker Sun;2017;Sun;jpg;Landscape;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180054/artPosters/GU02568_supertanker_sun_hjuina.jpg
GU02569;Supertanker Sand;2017;Sand;jpg;Landscape;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180056/artPosters/GU02569_supertanker_sand_yodrhr.jpg
GU02570;Supertanker Mint;2017;Mint;jpg;Landscape;Illustration;30x40 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180057/artPosters/GU02570_supertanker_mint_b6assc.jpg
GU02571;Urbicide;2014;White;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180058/artPosters/GU02571_urbicide_ydecuu.jpg
GU02572;Urbicide Sky;2014;Sky;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180061/artPosters/GU02572_urbicide_sky_loqqer.jpg
GU02573;Urbicide Sun;2014;Sun;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180062/artPosters/GU02573_urbicide_sun_pfxoou.jpg
GU02574;Urbicide Sand;2014;Sand;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180063/artPosters/GU02574_urbicide_sand_rs38g7.jpg
GU02575;Urbicide Mint;2014;Mint;jpg;Landscape;Illustration;30x40 cm;20;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180066/artPosters/GU02575_urbicide_mint_zsvsmu.jpg
GU02576;Urban Moon;2014;White;jpg;Circle;Illustration;50x50 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180067/artPosters/GU02576_urbanMoon_hhldzv.jpg
GU02577;Urban Moon Earth;2014;Earth;jpg;Circle;Illustration;50x50 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180069/artPosters/GU02577_urbanMoon_earth_keoj0m.jpg
GU02578;Urban Moon Sun;2014;Sun;jpg;Circle;Illustration;50x50 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180071/artPosters/GU02578_urbanMoon_sun_rywpme.jpg
GU02579;Urban Moon Sand;2014;Sand;jpg;Circle;Illustration;50x50 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180071/artPosters/GU02579_urbanMoon_sand_hcqsk4.jpg
GU02580;Urban Moon Mint;2014;Mint;jpg;Circle;Illustration;50x50 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180072/artPosters/GU02580_urbanMoon_mint_zdekmn.jpg
GU02581;Mobius Roof;2025;White;jpg;Portrait;Illustration;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180072/artPosters/GU02581_mobiusRoof_ldxpi0.jpg
GU02582;Mobius Roof Earth;2025;Earth;jpg;Portrait;Illustration;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180075/artPosters/GU02582_mobiusRoof_earth_fjp5my.jpg
GU02583;Mobius Roof Sky;2025;Sky;jpg;Portrait;Illustration;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180078/artPosters/GU02583_mobiusRoof_sky_vmnzwq.jpg
GU02584;Mobius Roof Sand;2025;Sand;jpg;Portrait;Illustration;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180079/artPosters/GU02584_mobiusRoof_sand_its8ub.jpg
GU02585;Mobius Roof Mint;2025;Mint;jpg;Portrait;Illustration;20x30 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180079/artPosters/GU02585_mobiusRoof_mint_e3qpr6.jpg
GU02586;Terraces;2025;White;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180083/artPosters/GU02586_terraces_w89rnx.jpg
GU02587;Terraces Earth;2025;Earth;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180083/artPosters/GU02587_terraces_earth_ws8o5n.jpg
GU02588;Terraces Sun;2025;Sun;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180084/artPosters/GU02588_terraces_sun_uvcjvt.jpg
GU02589;Terraces Sand;2025;Sand;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180087/artPosters/GU02589_terraces_sand_kkex88.jpg
GU02590;Terraces Mint;2025;Mint;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180088/artPosters/GU02590_terraces_mint_oi6iiz.jpg
GU02591;Upside Down;2025;White;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180088/artPosters/GU02591_upsideDown_zxt27g.jpg
GU02592;Upside Down Sky;2025;Sky;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180090/artPosters/GU02592_upsideDown_sky_h3lzrk.jpg
GU02593;Upside Down Sun;2025;Sun;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180092/artPosters/GU02593_upsideDown_sun_rhgenf.jpg
GU02594;Upside Down Sand;2025;Sand;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180095/artPosters/GU02594_upsideDown_sand_fkhheu.jpg
GU02595;Upside Down Mint;2025;Mint;jpg;Portrait;Illustration;20x30 cm;10;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180096/artPosters/GU02595_upsideDown_mint_coqxzl.jpg
GU02596;Gradient Earth;2025;Earth;jpg;Portrait;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180096/artPosters/GU02596_gradient_earth_m9wjne.jpg
GU02597;Gradient Sand;2025;Sand;jpg;Portrait;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180100/artPosters/GU02597_gradient_sand_hdwy3v.jpg
GU02598;Gradient Sun;2025;Sun;jpg;Portrait;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180100/artPosters/GU02598_gradient_sun_wkmb1c.jpg
GU02599;Gradient Sky;2025;Sky;jpg;Portrait;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180101/artPosters/GU02599_gradient_sky_alhipy.jpg
GU02600;Gradient Mint;2025;Mint;jpg;Portrait;Abstract;30x40 cm;Free;https://res.cloudinary.com/drpxmvfoz/image/upload/v1759180105/artPosters/GU02600_gradient_mint_xm83p4.jpg
